测试脚本名称,性能检查点, 标准时间,超时标准,超时上限,竞品值,容忍值,业务场景,实测值,结果,是否达标
3W_协同性能结构_关键指标,高频_首次打开工作单元时间（有缓存）,10.0,百分比,0.2,NULL,25,1,5.937,提升,达标
3W_协同性能结构_关键指标,高频_切换视图2,0.15,绝对值,0.2,1,0.5,1,0.094,提升,达标
3W_协同性能结构_关键指标,高频_切换视图比例,0.45,百分比,0.9,1.5,2,1,0.39,正常,达标
3W_协同性能结构_关键指标,高频_绘制填充（进入编辑）,0.15,绝对值,0.3,1,0.55,1,0.047,提升,达标
3W_协同性能结构_关键指标,高频_绘制填充（结束编辑）,0.15,绝对值,0.2,1,0.55,1,0.078,提升,达标
3W_协同性能结构_关键指标,高频_二次编辑填充（进入编辑）,0.15,绝对值,0.2,1,0.55,1,0.031,提升,达标
3W_协同性能结构_关键指标,高频_二次编辑填充（结束编辑）,0.15,绝对值,0.3,1,0.55,1,0.141,提升,达标
3W_协同性能结构_关键指标,高频_文字编辑（进入编辑模式）,0.15,绝对值,0.2,1,0.2,1,0.078,提升,达标
3W_协同性能结构_关键指标,高频_文字编辑（结束编辑模式）,0.15,绝对值,0.2,1,0.55,1,0.047,提升,达标
3W_协同性能结构_关键指标,高频_撤销文字编辑,0.6,绝对值,0.7,1,0.55,1,0.031,提升,达标
3W_协同性能结构_关键指标,高频_尺寸标注（拖动标注）,0.05,绝对值,0.1,1,0.35,1,0.016,提升,达标
3W_协同性能结构_关键指标,高频_尺寸标注（拖动文字）,0.05,绝对值,0.1,1,0.1,1,0.031,提升,达标
3W_协同性能结构_关键指标,高频_撤销尺寸标注（文字拖动）,0.05,绝对值,0.1,1,0.55,1,0.031,提升,达标
3W_协同性能结构_关键指标,高频_视图缩放,0.05,绝对值,0.1,1,0.1,1,0.016,提升,达标
3W_协同性能结构_关键指标,高频_梁标签文字编辑（进入编辑模式）,0.3,绝对值,0.35,1,0.3,1,0.125,提升,达标
3W_协同性能结构_关键指标,高频_梁标签文字编辑（结束编辑模式）,0.1,绝对值,0.25,1,0.3,1,0.109,正常,达标
3W_协同性能结构_关键指标,高频_撤销梁标签文字编辑,0.1,绝对值,0.25,1,0.3,1,0.015,提升,达标
3W_协同性能结构_关键指标,高频_梁标签挪动（集中不跨）,0.1,绝对值,0.2,1,0.2,1,0.047,提升,达标
3W_协同性能结构_关键指标,高频_撤销梁标签挪动(集中),0.1,绝对值,0.25,1,0.35,1,0.016,提升,达标
3W_协同性能结构_关键指标,高频_梁标签挪动（原位跨）,0.1,绝对值,0.25,1,0.3,1,0.032,提升,达标
3W_协同性能结构_关键指标,高频_撤销梁标签挪动3（原位跨）,0.1,绝对值,0.3,1,0.55,1,0.016,提升,达标
3W_协同性能结构_关键指标,高频_梁标签挪动（原位不跨）,0.1,绝对值,0.3,1,0.2,1,0.031,提升,达标
3W_协同性能结构_关键指标,高频_撤销梁标签挪动2（原位不跨）,0.1,绝对值,0.25,1,0.35,1,0.031,提升,达标
3W_协同性能结构_关键指标,高频_梁对齐（出对齐结果）,0.5,绝对值,0.5,2,0.5,1,0.344,提升,达标
3W_协同性能结构_关键指标,高频_梁复制粘贴,0.3,绝对值,0.4,1,0.5,1,0.109,提升,达标
3W_协同性能结构_关键指标,高频_梁空间位置编辑（单个）,0.3,绝对值,0.35,2,0.4,1,0.094,提升,达标
3W_协同性能结构_关键指标,高频_柱标签文字编辑（进入编辑模式）,0.1,绝对值,0.25,1,0.3,1,0.078,提升,达标
3W_协同性能结构_关键指标,高频_柱标签文字编辑（结束编辑模式）,0.1,绝对值,0.25,1,0.3,1,0.078,提升,达标
3W_协同性能结构_关键指标,高频_柱标签挪动,0.1,绝对值,0.1,1,0.15,1,0.016,提升,达标
3W_协同性能结构_关键指标,高频_撤销柱标签挪动,0.1,绝对值,0.3,1,0.55,1,0.016,提升,达标
3W_协同性能结构_关键指标,高频_撤销墙标签文字编辑,0.1,绝对值,0.25,1,0.3,1,0.015,提升,达标
3W_协同性能结构_非关键指标,放置基础构件,0.3,绝对值,0.5,NULL,1,0,0.172,提升,达标
3W_协同性能结构_非关键指标,移动梁-参照建筑,0.5,绝对值,0.6,NULL,1,1,0.36,提升,达标
3W_协同性能结构_非关键指标,批量对齐墙-参照建筑,1.0,百分比,0.2,NULL,2,1,0.688,提升,达标
3W_协同性能结构_非关键指标,复制梁-参照建筑,0.4,绝对值,0.6,NULL,1,1,0.156,提升,达标
3W_协同性能结构_非关键指标,楼板编辑（进入二次编辑）-参照建筑,0.2,绝对值,0.4,NULL,1,1,0.094,提升,达标
3W_协同性能结构_非关键指标,标准层移动梁构件,0.4,绝对值,0.6,NULL,0.5,0,0.203,提升,达标
3W_协同性能结构_非关键指标,标准层楼板编辑（进入二次编辑）,0.2,绝对值,0.4,NULL,0.55,0,0.062,提升,达标
3W_协同性能结构_非关键指标,标准层楼板编辑（结束二次编辑）,0.65,百分比,0.5,NULL,0.55,0,0.625,正常,不达标
3W_协同性能结构_非关键指标,标准层梁对齐（出对齐结果）,0.15,绝对值,0.2,NULL,0.5,0,0.078,提升,达标
3W_协同性能结构_非关键指标,标准层梁复制粘贴,0.2,绝对值,0.4,NULL,0.5,0,0.156,提升,达标
3W_协同性能结构_非关键指标,标准层梁删除,0.15,绝对值,0.3,NULL,0.5,0,0.141,提升,达标
3W_协同性能结构_非关键指标,标准层梁创建,0.2,绝对值,0.42,NULL,0.5,0,0.156,提升,达标
3W_协同性能结构_非关键指标,标准层梁属性编辑（不改几何空间）,0.1,绝对值,0.15,NULL,0.2,0,0.046,提升,达标
3W_协同性能结构_非关键指标,标准层梁类型参数替换,0.3,绝对值,0.45,NULL,0.6,1,0.188,提升,达标
3W_协同性能结构_非关键指标,标准层梁夹点拖动,0.4,绝对值,0.5,NULL,0.5,0,0.297,提升,达标
3W_协同性能结构_非关键指标,标准层梁空间位置编辑（单个）,0.2,绝对值,0.36,NULL,0.5,0,0.141,提升,达标
3W_协同性能结构_非关键指标,标准层板洞创建（生成板洞）,0.6,百分比,0.2,NULL,0.6,0,0.469,提升,达标
3W_协同性能结构_非关键指标,标准层楼板标高升降,0.1,绝对值,0.15,NULL,0.2,0,0.031,提升,达标
3W_协同性能结构_非关键指标,标准层墙移动,0.35,百分比,0.2,NULL,0.55,0,0.219,提升,达标
3W_协同性能结构_非关键指标,标准层墙创建,0.3,绝对值,0.45,NULL,0.55,0,0.156,提升,达标
3W_协同性能结构_非关键指标,标准层墙对齐（出对齐结果）,0.3,绝对值,0.45,NULL,0.5,0,0.141,提升,达标
3W_协同性能结构_非关键指标,标准层墙复制粘贴,0.3,绝对值,0.45,NULL,0.5,0,0.172,提升,达标
3W_协同性能结构_非关键指标,标准层墙属性编辑（不改几何空间）,0.05,绝对值,0.1,NULL,0.2,0,0.031,提升,达标
3W_协同性能结构_非关键指标,标准层墙类型参数替换,0.25,绝对值,0.3,NULL,0.4,1,0.156,提升,达标
3W_协同性能结构_非关键指标,标准层墙空间位置编辑（单个）,0.25,绝对值,0.3,NULL,0.35,0,0.141,提升,达标
3W_协同性能结构_非关键指标,标准层墙夹点拖动,0.4,百分比,0.2,NULL,0.5,0,0.297,提升,达标
3W_协同性能结构_非关键指标,标准层墙修角,0.4,绝对值,0.5,NULL,0.5,0,0.219,提升,达标
3W_协同性能结构_非关键指标,标准层柱复制粘贴,0.35,绝对值,0.5,NULL,0.55,0,0.187,提升,达标
3W_协同性能结构_非关键指标,标准层柱创建,0.35,绝对值,0.48,NULL,0.55,0,0.219,提升,达标
3W_协同性能结构_非关键指标,标准层柱空间位置编辑（单个）,0.35,绝对值,0.45,NULL,0.55,0,0.172,提升,达标
3W_协同性能结构_非关键指标,标准层柱类型参数替换,0.3,绝对值,0.4,NULL,0.55,1,0.157,提升,达标
3W_协同性能结构_非关键指标,标准层柱移动,0.3,绝对值,0.45,NULL,0.5,0,0.188,提升,达标
3W_协同性能结构_非关键指标,标准层柱对齐（出对齐结果）,0.2,绝对值,0.4,NULL,0.5,0,0.141,提升,达标
3W_协同性能结构_非关键指标,标准层柱属性编辑（不改几何空间）,0.15,绝对值,0.17,NULL,0.2,0,0.032,提升,达标
3W_协同性能结构_非关键指标,标准层梁延伸,0.15,绝对值,0.24,NULL,0.25,0,0.109,提升,达标
3W_协同性能结构_非关键指标,标准层柱标签挪动,0.05,绝对值,0.1,NULL,0.15,0,0.047,提升,达标
3W_协同性能结构_非关键指标,标准层撤销柱标签挪动,0.6,绝对值,0.7,NULL,0.55,0,0.047,提升,达标
3W_协同性能结构_非关键指标,同步板洞,2.0,百分比,0.2,NULL,60,1,1.562,提升,达标
3W_协同性能结构_非关键指标,创建视图,0.75,百分比,0.2,NULL,3,0,0.656,正常,达标
3W_协同性能结构_非关键非标准层指标,高频_初次打开平面视图,0.65,百分比,0.2,NULL,3,1,0.5,提升,达标
3W_协同性能结构_非关键非标准层指标,高频_初次打开立面视图,1.0,百分比,0.2,NULL,3,1,0.765,提升,达标
3W_协同性能结构_非关键非标准层指标,高频_初次打开剖面视图,1.0,百分比,0.2,NULL,3,1,0.734,提升,达标
3W_协同性能结构_非关键非标准层指标,高频_切换视图-非首次切换,0.25,绝对值,0.6,NULL,2,1,0.203,提升,达标
3W_协同性能结构_非关键非标准层指标,显示CAD（底图）挪动构件,0.8,百分比,0.2,NULL,1,1,0.562,提升,达标
3W_协同性能结构_非关键非标准层指标,切换线宽模式,0.25,绝对值,0.6,NULL,1.1,1,0.141,提升,达标
3W_协同性能结构_非关键非标准层指标,跨楼层复制粘贴,1.0,百分比,0.2,NULL,1.05,1,0.719,提升,达标
3W_协同性能结构_非关键非标准层指标,视图对象样式设置对话框弹出,0.6,百分比,0.2,NULL,1.05,1,0.547,正常,达标
3W_协同性能结构_非关键非标准层指标,视图对象样式设置生效,1.0,百分比,0.2,NULL,2.2,1,0.234,提升,达标
3W_协同性能结构_非关键非标准层指标,框选大量构件,0.2,绝对值,0.5,NULL,1.05,1,0.109,提升,达标
3W_协同性能结构_非关键非标准层指标,应用视图样板,1.5,百分比,0.2,NULL,2.5,1,0.422,提升,达标
3W_协同性能结构_非关键非标准层指标,移动梁,0.2,绝对值,0.3,NULL,0.55,1,0.125,提升,达标
3W_协同性能结构_非关键非标准层指标,梁创建撤销,0.65,绝对值,0.7,NULL,0.55,1,0.031,提升,达标
3W_协同性能结构_非关键非标准层指标,楼板编辑（进入二次编辑）有链接扣减,0.2,绝对值,0.3,NULL,0.55,1,0.078,提升,达标
3W_协同性能结构_非关键非标准层指标,楼板编辑（结束二次编辑）有链接扣减,1.2,百分比,0.2,NULL,0.55,1,1.063,正常,不达标
3W_协同性能结构_非关键非标准层指标,墙移动,0.5,百分比,0.2,NULL,0.55,1,0.375,提升,达标
3W_协同性能结构_非关键非标准层指标,墙创建,0.2,绝对值,0.3,NULL,0.55,1,0.109,提升,达标
3W_协同性能结构_非关键非标准层指标,柱复制粘贴,0.3,绝对值,0.5,NULL,0.55,0,0.172,提升,达标
3W_协同性能结构_非关键非标准层指标,柱创建,0.25,绝对值,0.4,NULL,0.55,1,0.171,提升,达标
3W_协同性能结构_非关键非标准层指标,柱空间位置编辑（单个）,0.2,绝对值,0.3,NULL,0.55,1,0.094,提升,达标
3W_协同性能结构_非关键非标准层指标,柱类型参数替换,0.2,绝对值,0.3,NULL,0.55,1,0.094,提升,达标
3W_协同性能结构_非关键非标准层指标,放置视口,0.15,绝对值,0.5,NULL,1,1,0.11,提升,达标
3W_协同性能结构_非关键非标准层指标,移动视口,0.25,绝对值,0.5,NULL,0.55,1,0.172,提升,达标
3W_协同性能结构_非关键非标准层指标,在图纸空间创建文字,0.2,绝对值,0.4,NULL,0.55,0,0.031,提升,达标
3W_协同性能结构_非关键非标准层指标,在图纸空间编辑文字,0.15,绝对值,0.5,NULL,0.55,0,0.11,提升,达标
3W_协同性能结构_非关键非标准层指标,在图纸空间绘制二维线,0.1,绝对值,0.2,NULL,0.55,0,0.015,提升,达标
3W_协同性能结构_非关键非标准层指标,在图纸空间平移视图,0.65,绝对值,0.7,NULL,0.5,0,0.532,提升,不达标
3W_协同性能结构_非关键非标准层指标,调整轴网长度,0.25,绝对值,0.4,NULL,0.5,1,0.125,提升,达标
3W_协同性能结构_非关键非标准层指标,批量调整轴网长度（立面视图）,0.1,绝对值,0.2,NULL,0.35,1,0.031,提升,达标
3W_协同性能结构_非关键非标准层指标,切换视图,0.65,百分比,0.2,NULL,2,0,0.563,正常,达标
3W_协同性能结构_非关键非标准层指标,梁删除,0.25,绝对值,0.4,NULL,0.55,1,0.203,提升,达标
3W_协同性能结构_非关键非标准层指标,梁创建,0.2,绝对值,0.3,NULL,0.5,1,0.093,提升,达标
3W_协同性能结构_非关键非标准层指标,梁属性编辑（不影响几何与空间关系）,0.1,绝对值,0.2,NULL,0.5,1,0.047,提升,达标
3W_协同性能结构_非关键非标准层指标,梁类型参数替换,0.3,绝对值,0.45,NULL,0.5,1,0.172,提升,达标
3W_协同性能结构_非关键非标准层指标,梁夹点拖动,0.3,绝对值,0.45,NULL,0.5,1,0.203,提升,达标
3W_协同性能结构_非关键非标准层指标,高频_梁空间位置编辑（影响几何与空间关系）,0.1,绝对值,0.2,NULL,0.2,1,0.078,提升,达标
3W_协同性能结构_非关键非标准层指标,启动二维线,0.2,百分比,0.2,NULL,0.2,1,0.093,提升,达标
3W_协同性能结构_非关键非标准层指标,启动文字命令（首次）,0.1,绝对值,0.2,NULL,0.5,1,0.047,提升,达标
3W_协同性能结构_非关键非标准层指标,启动文字命令（非首次）,0.2,百分比,0.2,NULL,0.2,1,0.062,提升,达标
3W_协同性能结构_非关键非标准层指标,楼板标高升降,0.1,百分比,0.2,NULL,0.2,1,0.031,提升,达标
3W_协同性能结构_非关键非标准层指标,墙对齐（出对齐结果）,0.25,绝对值,0.4,NULL,0.5,1,0.157,提升,达标
3W_协同性能结构_非关键非标准层指标,墙复制粘贴,0.25,绝对值,0.4,NULL,0.5,0,0.11,提升,达标
3W_协同性能结构_非关键非标准层指标,墙属性编辑（不影响几何与空间关系）,0.06,绝对值,0.1,NULL,0.2,0,0.047,提升,达标
3W_协同性能结构_非关键非标准层指标,墙类型参数替换,0.25,绝对值,0.45,NULL,0.5,1,0.203,提升,达标
3W_协同性能结构_非关键非标准层指标,墙空间位置编辑（单个）,0.2,绝对值,0.3,NULL,0.5,1,0.156,提升,达标
3W_协同性能结构_非关键非标准层指标,墙夹点拖动,0.35,百分比,0.2,NULL,0.5,1,0.234,提升,达标
3W_协同性能结构_非关键非标准层指标,柱移动,0.25,绝对值,0.4,NULL,0.5,1,0.156,提升,达标
3W_协同性能结构_非关键非标准层指标,柱对齐（出对齐结果）,0.15,绝对值,0.2,NULL,0.3,1,0.078,提升,达标
3W_协同性能结构_非关键非标准层指标,柱属性编辑（不影响几何与空间关系）,0.2,百分比,0.2,NULL,0.2,0,0.125,提升,达标
3W_协同性能结构_非关键非标准层指标,批量调整轴网长度（平面视图）1,0.15,绝对值,0.5,NULL,1,0,0.079,提升,达标
3W_协同性能结构_非关键非标准层指标,批量调整轴网长度（平面视图）2,0.1,绝对值,0.5,NULL,1,0,0.078,提升,达标
3W_协同性能结构_非关键非标准层指标,批量调整轴网长度（平面视图）3,0.15,绝对值,0.5,NULL,1,0,0.094,提升,达标
3W_协同性能结构_非关键非标准层指标,板洞创建（生成板洞）,0.6,百分比,0.2,NULL,0.6,1,0.454,提升,达标
3W_协同性能结构_非关键非标准层指标,初次打开三维视图,2.0,百分比,0.2,NULL,3,1,1.031,提升,达标
3W_协同性能结构_非关键非标准层指标,三维拖拉剖切框,0.5,百分比,0.2,NULL,0.55,1,0.312,提升,达标
3W_协同性能结构_非关键非标准层指标,三维视图旋转,0.1,绝对值,0.2,NULL,0.35,1,0.0,提升,达标
3W_协同性能结构_非关键非标准层指标,一键处理,20.0,百分比,0.2,NULL,15,1,15.5,提升,不达标
3W_协同性能结构_非关键非标准层指标,高频_关闭工作单元,2.0,百分比,0.2,NULL,3,1,1.485,提升,达标
同步柱板洞性能保护,同步柱,1.5,百分比,0.2,NULL,2,1,1.016,提升,达标
同步柱板洞性能保护,同步板洞,35.0,百分比,0.2,NULL,50,1,28.437,正常,达标
梁交线处理性能保护,梁交线DWG文件导出,30.0,百分比,0.2,NULL,30,0,22.954,提升,达标
生成分析模型性能保护230221,GST生成分析模型,145.0,百分比,0.2,NULL,315,0,158.609,正常,达标
设置过滤器生效响应时间230303,过滤器启动时间,0.2,绝对值,0.3,0.5,0.5,0
设置过滤器生效响应时间230303,设置构件过滤器,1.5,百分比,0.2,0.5,0.5,0
6W_关键指标性能保护230320,首次打开工作单元时间（无缓存）,65.0,百分比,0.2,NULL,40,1,37.828,提升,达标
6W_关键指标性能保护230320,高频_视图缩放,0.55,百分比,0.9,1.4,0.3,1,0.281,正常,达标
6W_关键指标性能保护230320,高频_初次打开平面视图,14.0,百分比,0.2,4,10,1,7.906,提升,达标
6W_关键指标性能保护230320,高频_切换视图-非首次切换,0.5,绝对值,0.55,0.3,0.3,1,0.515,正常,不达标
6W_关键指标性能保护230320,高频_梁复制粘贴,0.4,百分比,0.2,1.73,1,1,0.234,提升,达标
6W_关键指标性能保护230320,高频_梁对齐（出对齐结果）,0.8,百分比,0.2,1.54,0.9,1,0.594,提升,达标
6W_关键指标性能保护230320,高频_梁空间位置编辑（影响几何与空间关系）,0.3,绝对值,0.5,1.35,0.5,1,0.235,提升,达标
6W_关键指标性能保护230320,高频_文字编辑（进入编辑模式）,0.15,绝对值,0.2,0.3,0.2,1,0.078,提升,达标
6W_关键指标性能保护230320,高频_文字编辑（结束编辑模式）,0.15,绝对值,0.3,0.3,0.3,1,0.094,提升,达标
6W_关键指标性能保护230320,高频_撤销文字编辑,0.35,绝对值,0.4,0.3,0.3,1,0.11,提升,达标
6W_关键指标性能保护230320,高频_尺寸标注（拖动标注）,0.15,绝对值,0.3,0.3,0.3,1,0.079,提升,达标
6W_关键指标性能保护230320,高频_尺寸标注（拖动文字）,0.15,绝对值,0.3,0.3,0.3,1,0.109,提升,达标
6W_关键指标性能保护230320,高频_撤销尺寸标注（文字拖动）,0.4,绝对值,0.45,0.3,0.3,1,0.11,提升,达标
6W_关键指标性能保护230320,高频_首次绘制填充开始,0.2,绝对值,0.3,0.3,0.3,1,0.218,正常,达标
6W_关键指标性能保护230320,高频_首次绘制填充结束,0.15,绝对值,0.3,0.3,0.3,1,0.11,提升,达标
6W_关键指标性能保护230320,高频_二次编辑填充（进入编辑）,0.4,绝对值,0.5,0.3,0.5,1,0.36,提升,达标
6W_关键指标性能保护230320,高频_二次编辑填充（结束编辑）,0.2,绝对值,0.4,0.4,0.4,1,0.219,正常,达标
6W_关键指标性能保护230320,高频_梁标签挪动（原位跨）,0.2,绝对值,0.3,0.3,0.3,1,0.141,提升,达标
6W_关键指标性能保护230320,高频_梁标签挪动（原位不跨）,0.15,绝对值,0.2,0.3,0.3,1,0.141,提升,达标
6W_关键指标性能保护230320,高频_撤销梁标签挪动1（原位不跨）,0.3,绝对值,0.35,0.3,0.2,1,0.11,提升,达标
6W_关键指标性能保护230320,高频_撤销梁标签挪动2（原位跨）,0.35,绝对值,0.4,0.3,0.3,1,0.109,提升,达标
6W_关键指标性能保护230320,高频_梁标签挪动（集中不跨）,0.15,绝对值,0.2,0.3,0.15,1,0.062,提升,达标
6W_关键指标性能保护230320,高频_撤销梁标签挪动3(集中),0.3,绝对值,0.35,0.3,0.3,1,0.109,提升,达标
6W_关键指标性能保护230320,高频_梁标签文字编辑（进入编辑模式）,0.15,绝对值,0.3,0.3,0.3,1,0.125,提升,达标
6W_关键指标性能保护230320,高频_梁标签文字编辑（结束编辑模式）,0.2,绝对值,0.3,0.3,0.3,1,0.125,提升,达标
6W_关键指标性能保护230320,高频_撤销梁标签文字编辑,0.3,绝对值,0.3,0.3,0.3,1,0.109,提升,达标
6W_关键指标性能保护230320,高频_柱标签挪动,0.2,绝对值,0.3,0.3,0.3,1,0.156,提升,达标
6W_关键指标性能保护230320,高频_撤销柱标签挪动,0.4,绝对值,0.45,0.3,0.3,1,0.125,提升,达标
6W_关键指标性能保护230320,高频_柱标签文字编辑（进入编辑模式）,0.15,绝对值,0.3,0.3,0.3,1,0.078,提升,达标
6W_关键指标性能保护230320,高频_柱标签文字编辑（结束编辑模式）,0.1,绝对值,0.3,0.3,0.3,1,0.125,正常,达标
6W_关键指标性能保护230320,高频_撤销柱标签文字编辑,0.4,绝对值,0.45,0.3,0.3,1,0.125,提升,达标
6W_设置等其他操作性能保护230330,高频_首次打开工作单元时间（有缓存）,19.0,百分比,0.2,15.4,40,1,13.546,提升,达标
6W_设置等其他操作性能保护230330,创建局部三维视图,0.1,绝对值,20.0,1.75,0.2,1,0.078,提升,达标
6W_设置等其他操作性能保护230330,初次打开立面视图,3.5,百分比,0.2,1.5,1.5,1,1.672,提升,不达标
6W_设置等其他操作性能保护230330,初次打开剖面视图,2.0,百分比,0.2,1.5,1.5,1,1.047,提升,达标
6W_设置等其他操作性能保护230330,初次打开三维视图,4.0,百分比,0.2,3.7,3.7,1,2.407,提升,达标
6W_设置等其他操作性能保护230330,三维视图-拖拉剖切框,0.5,百分比,0.2,1.65,0.6,1,0.328,提升,达标
6W_设置等其他操作性能保护230330,旋转三维视图,0.15,绝对值,0.2,438.1,0.3,1,0.047,提升,达标
6W_设置等其他操作性能保护230330,切换线宽模式,2.0,百分比,0.2,NULL,0.5,1,0.234,提升,达标
6W_设置等其他操作性能保护230330,切换视图比例,6.5,百分比,0.2,66,15,1,6.437,正常,达标
6W_设置等其他操作性能保护230330,切换视图-首次切换,0.6,百分比,0.3,1.09,1,1,0.562,正常,达标
6W_设置等其他操作性能保护230330,打开视图对象样式设置对话框,0.6,百分比,0.2,0.3,0.3,1,0.5,正常,不达标
6W_设置等其他操作性能保护230330,视图对象样式设置生效,0.6,百分比,0.2,NULL,1.3,1,0.563,正常,达标
6W_设置等其他操作性能保护230330,应用视图样板,2.5,百分比,0.2,1.59,1.59,1,2.532,正常,不达标
6W_设置等其他操作性能保护230330,平面视图-修改顶部偏移/深度偏移,2.5,百分比,0.2,1,1,1,2.579,正常,不达标
6W_设置等其他操作性能保护230330,平面视图-范围框拖拽夹点,0.35,百分比,0.2,1.3,0.8,1,0.265,提升,达标
6W_设置等其他操作性能保护230330,平面视图-旋转裁剪框,0.4,百分比,0.2,1,3,1,0.344,正常,达标
6W_设置等其他操作性能保护230330,挪动CAD图纸,1.8,百分比,0.2,1,1,1,1.75,正常,不达标
6W_设置等其他操作性能保护230330,撤销移动CAD图纸,2.5,百分比,0.2,0.3,0.3,1,2.234,正常,不达标
6W_设置等其他操作性能保护230330,显示CAD（底图）挪动构件,1.0,百分比,0.2,1.53,1.3,1,0.766,提升,达标
6W_设置等其他操作性能保护230330,平面视图-批量调整轴网长度,0.3,百分比,0.2,1,0.9,1,0.312,正常,达标
6W_设置等其他操作性能保护230330,立面视图-批量调整标高线长度,0.15,绝对值,16.0,7.73,0.2,1,0.047,提升,达标
6W_墙梁板柱操作性能保护230329,创建柱,0.2,绝对值,0.5,1,0.6,1,0.187,提升,达标
6W_墙梁板柱操作性能保护230329,移动柱-扣减连接,0.3,绝对值,0.47,25.25,0.5,1,0.344,正常,达标
6W_墙梁板柱操作性能保护230329,柱对齐（出对齐结果）,0.3,百分比,0.2,24.57,0.6,1,0.281,正常,达标
6W_墙梁板柱操作性能保护230329,柱类型替换,0.3,绝对值,0.4,24.03,0.5,1,0.25,提升,达标
6W_墙梁板柱操作性能保护230329,修改单个柱类型参数,36.0,百分比,0.2,48.4,48.4,1,36.094,正常,达标
6W_墙梁板柱操作性能保护230329,柱空间位置编辑（影响几何与空间关系）,0.4,绝对值,0.45,23.49,0.5,1,0.281,提升,达标
6W_墙梁板柱操作性能保护230329,创建墙,0.2,百分比,0.2,0.3,0.3,1,0.141,提升,达标
6W_墙梁板柱操作性能保护230329,移动墙-扣减连接,0.5,百分比,0.2,25.95,0.6,1,0.469,正常,达标
6W_墙梁板柱操作性能保护230329,墙对齐（出对齐结果）,0.3,百分比,0.2,25.72,0.6,1,0.235,提升,达标
6W_墙梁板柱操作性能保护230329,墙夹点拖动,0.5,绝对值,0.6,23.22,0.7,1,0.422,提升,达标
6W_墙梁板柱操作性能保护230329,墙类型替换,0.2,百分比,0.2,24.76,0.36,1,0.187,正常,达标
6W_墙梁板柱操作性能保护230329,修改单个墙类型参数,36.0,百分比,0.2,109.36,80,1,36.047,正常,达标
6W_墙梁板柱操作性能保护230329,墙空间位置编辑（影响几何与空间关系）,0.4,绝对值,0.45,16.21,0.5,1,0.328,提升,达标
6W_墙梁板柱操作性能保护230329,创建梁,0.3,百分比,0.2,0.3,0.3,1,0.468,衰退,不达标
6W_墙梁板柱操作性能保护230329,移动梁-有扣减连接,0.65,百分比,0.2,1.95,0.9,1,0.593,正常,达标
6W_墙梁板柱操作性能保护230329,梁夹点拖动,0.4,百分比,0.2,2.32,1,1,0.328,正常,达标
6W_墙梁板柱操作性能保护230329,梁类型替换,0.45,百分比,0.2,1.51,0.6,1,0.422,正常,达标
6W_墙梁板柱操作性能保护230329,修改单个梁类型参数,1.0,百分比,0.2,7.74,1.7,1,0.922,正常,达标
6W_墙梁板柱操作性能保护230329,梁空间位置编辑（不影响几何与空间关系）,0.1,百分比,0.2,0.3,0.2,1,0.078,提升,达标
6W_墙梁板柱操作性能保护230329,创建楼板,0.5,百分比,0.2,1.81,0.6,1,0.453,正常,达标
6W_墙梁板柱操作性能保护230329,板类型替换,0.1,百分比,0.2,0.3,0.2,1,0.094,正常,达标
6W_墙梁板柱操作性能保护230329,修改单个板类型参数,5.0,百分比,0.2,69.44,10,1,4.907,正常,达标
